group_size;enemyCount;hasCircle;stratName;friendlyCasts0;friendlyCasts1;friendlyCasts2;friendlyCasts3;friendlyCasts4;friendlyCasts5;enemyCasts0;enemyCasts1;enemyCasts2;enemyCasts3;enemyCasts4;enemyCasts5;ticksPerSecond;friendlyTicksPerTime;enemyTicksPerTime
1;1;0;FOCUSFRIENDLY;304;0;0;10;12;74;0;0;0;0;0;0;1.24967;0.75532;0.49435
1;1;0;FOCUSENEMY;0;0;0;0;0;0;310;0;2;8;21;59;1.26454;0.50955;0.75499
1;1;0;RANDOM;213;0;3;2;6;0;160;0;5;0;11;0;1.17989;0.60126;0.57863
1;1;0;RANDOMENEMY;145;1;6;0;5;0;221;2;4;2;13;1;1.20541;0.57838;0.62703
1;1;0;RANDOMFRIENDLY;0;0;0;0;0;0;314;0;2;9;16;59;1.26654;0.51007;0.75647
1;1;0;ONESTACK;311;0;2;6;18;63;0;0;0;0;0;0;1.26311;0.75793;0.50518
1;1;0;ONESTACKENEMYFIRST;81;0;2;0;46;57;106;0;4;0;47;57;1.06858;0.52072;0.54786
1;1;0;ONESTACKENEMY;0;0;0;0;0;0;309;0;0;9;14;68;1.25983;0.50221;0.75762
1;1;0;ONESTACKFRIENDLY;304;0;0;7;21;68;0;0;0;0;0;0;1.27032;0.75636;0.51396
1;1;0;TWOSTACKS;216;0;1;2;8;10;141;0;6;0;12;4;1.20371;0.62421;0.5795
1;1;0;TWOSTACKSENEMYFIRST;156;0;2;0;7;1;213;0;1;2;10;8;1.19261;0.57775;0.61486
1;1;0;TWOSTACKSENEMY;320;0;1;7;11;61;0;0;0;0;0;0;1.2373;0.74515;0.49215
1;1;0;TWOSTACKSFRIENDLY;0;0;0;0;0;0;304;0;2;15;14;65;1.2813;0.5147;0.7666
1;1;0;THREESTACKS;213;1;6;1;2;3;147;1;7;0;15;4;1.2066;0.61219;0.59441
1;1;0;THREESTACKSENEMYFIRST;142;1;11;0;14;4;215;0;2;2;6;3;1.22134;0.60221;0.61913
1;1;0;THREESTACKSENEMY;290;1;1;13;25;70;0;0;0;0;0;0;1.28548;0.77135;0.51413
1;1;0;THREESTACKSFRIENDLY;0;0;0;0;0;0;307;0;0;8;20;65;1.26307;0.50298;0.76009
1;1;0;LOWEST;211;0;3;1;1;2;168;2;5;1;2;4;1.17541;0.60084;0.57457
1;1;0;LOWESTENEMYFIRST;143;1;9;1;9;5;218;0;3;3;3;5;1.2032;0.58606;0.61714
1;1;0;LOWESTENEMY;317;1;0;8;18;56;0;0;0;0;0;0;1.25691;0.74946;0.50745
1;1;0;LOWESTFRIENDLY;0;0;0;0;0;0;307;0;0;6;23;64;1.25666;0.49923;0.75743
1;2;0;FOCUSFRIENDLY;284;2;2;18;8;86;0;0;0;0;0;0;1.38715;0.7775;0.60965
1;2;0;FOCUSENEMY;0;0;0;0;0;0;374;0;2;1;16;7;1.70618;0.76191;0.94427
1;2;0;RANDOM;26;0;2;0;4;0;366;0;1;0;1;0;1.68165;0.76501;0.91664
1;2;0;RANDOMENEMY;1;0;3;0;0;0;390;0;1;0;5;0;1.69614;0.75839;0.93775
1;2;0;RANDOMFRIENDLY;0;0;0;0;0;0;392;0;1;1;6;0;1.70941;0.76053;0.94888
1;2;0;ONESTACK;284;0;0;13;22;81;0;0;0;0;0;0;1.39643;0.78144;0.61499
1;2;0;ONESTACKENEMYFIRST;35;0;4;0;14;79;196;0;4;0;53;15;1.4266;0.65648;0.77012
1;2;0;ONESTACKENEMY;0;0;0;0;0;0;341;0;0;4;28;27;1.71362;0.74886;0.96476
1;2;0;ONESTACKFRIENDLY;288;1;1;9;5;96;0;0;0;0;0;0;1.38317;0.77305;0.61012
1;2;0;TWOSTACKS;25;0;1;0;2;0;362;0;2;1;7;0;1.69669;0.77148;0.92521
1;2;0;TWOSTACKSENEMYFIRST;1;0;0;0;2;2;394;0;0;0;1;0;1.71372;0.76847;0.94525
1;2;0;TWOSTACKSENEMY;285;0;0;17;7;91;0;0;0;0;0;0;1.37947;0.77004;0.60943
1;2;0;TWOSTACKSFRIENDLY;0;0;0;0;0;0;390;0;0;0;10;0;1.72873;0.77831;0.95042
1;2;0;THREESTACKS;126;4;28;0;2;1;222;1;13;0;3;0;1.57133;0.73899;0.83234
1;2;0;THREESTACKSENEMYFIRST;13;1;39;0;0;0;347;0;0;0;0;0;1.58519;0.71293;0.87226
1;2;0;THREESTACKSENEMY;278;2;1;15;10;94;0;0;0;0;0;0;1.41203;0.78024;0.63179
1;2;0;THREESTACKSFRIENDLY;0;0;0;0;0;0;396;0;0;0;4;0;1.71076;0.76505;0.94571
1;2;0;LOWEST;122;1;24;3;0;0;240;0;7;2;1;0;1.54099;0.73426;0.80673
1;2;0;LOWESTENEMYFIRST;13;1;39;0;0;0;343;0;0;3;1;0;1.59034;0.71403;0.87631
1;2;0;LOWESTENEMY;289;0;1;12;9;89;0;0;0;0;0;0;1.39345;0.77823;0.61522
1;2;0;LOWESTFRIENDLY;0;0;0;0;0;0;385;0;5;1;9;0;1.71407;0.76768;0.94639
1;3;0;FOCUSFRIENDLY;290;0;0;17;6;87;0;0;0;0;0;0;1.42517;0.77323;0.65194
1;3;0;FOCUSENEMY;0;0;0;0;0;0;389;0;1;2;7;1;1.81835;0.75627;1.06208
1;3;0;RANDOM;10;0;0;0;0;0;390;0;0;0;0;0;1.81123;0.77016;1.04107
1;3;0;RANDOMENEMY;0;0;0;0;0;0;400;0;0;0;0;0;1.84427;0.77935;1.06492
1;3;0;RANDOMFRIENDLY;0;0;0;0;0;0;400;0;0;0;0;0;1.79621;0.76337;1.03284
1;3;0;ONESTACK;299;0;0;6;7;88;0;0;0;0;0;0;1.4202;0.77294;0.64726
1;3;0;ONESTACKENEMYFIRST;29;0;8;1;8;63;245;0;3;0;37;6;1.5173;0.65905;0.85825
1;3;0;ONESTACKENEMY;0;0;0;0;0;0;350;0;2;0;36;12;1.81456;0.75946;1.0551
1;3;0;ONESTACKFRIENDLY;299;1;0;12;8;80;0;0;0;0;0;0;1.40213;0.75876;0.64337
1;3;0;TWOSTACKS;13;0;0;0;0;0;387;0;0;0;0;0;1.82966;0.77933;1.05033
1;3;0;TWOSTACKSENEMYFIRST;0;0;0;0;0;0;399;1;0;0;0;0;1.83031;0.76743;1.06288
1;3;0;TWOSTACKSENEMY;293;0;0;8;7;92;0;0;0;0;0;0;1.42565;0.77172;0.65393
1;3;0;TWOSTACKSFRIENDLY;0;0;0;0;0;0;400;0;0;0;0;0;1.81743;0.76321;1.05422
1;3;0;THREESTACKS;96;0;27;0;0;0;267;0;10;0;0;0;1.64274;0.74745;0.89529
1;3;0;THREESTACKSENEMYFIRST;0;0;41;0;0;0;358;0;1;0;0;0;1.71595;0.71816;0.99779
1;3;0;THREESTACKSENEMY;297;2;0;15;4;82;0;0;0;0;0;0;1.40823;0.77149;0.63674
