group_size;enemyCount;hasCircle;stratName;friendlyCasts0;friendlyCasts1;friendlyCasts2;friendlyCasts3;friendlyCasts4;friendlyCasts5;enemyCasts0;enemyCasts1;enemyCasts2;enemyCasts3;enemyCasts4;enemyCasts5;ticksPerSecond;friendlyTicksPerTime;enemyTicksPerTime
1;1;0;FOCUSFRIENDLY;310;0;1;12;16;61;0;0;0;0;0;0;1.25649;0.75488;0.50161
1;1;0;FOCUSENEMY;0;0;0;0;0;0;310;0;1;10;15;64;1.25934;0.50235;0.75699
1;1;0;RANDOM;211;1;5;3;13;2;145;1;13;1;5;0;1.22756;0.63918;0.58838
1;1;0;RANDOMENEMY;162;0;9;1;8;0;208;0;1;0;11;0;1.18447;0.57813;0.60634
1;1;0;RANDOMFRIENDLY;0;0;0;0;0;0;300;0;0;10;13;77;1.26569;0.5034;0.76229
1;1;0;ONESTACK;308;0;0;6;18;68;0;0;0;0;0;0;1.26262;0.75678;0.50584
1;1;0;ONESTACKENEMYFIRST;104;0;6;3;36;58;95;0;2;0;38;58;1.09489;0.55235;0.54254
1;1;0;ONESTACKENEMY;0;0;0;0;0;0;294;0;0;10;21;75;1.273;0.5046;0.7684
1;1;0;ONESTACKFRIENDLY;293;0;0;7;18;82;0;0;0;0;0;0;1.26257;0.76247;0.5001
1;1;0;TWOSTACKS;231;0;1;3;4;12;131;0;8;0;9;1;1.20097;0.62755;0.57342
1;1;0;TWOSTACKSENEMYFIRST;147;0;5;1;12;2;215;1;1;1;8;7;1.20939;0.58446;0.62493
1;1;0;TWOSTACKSENEMY;306;0;1;5;25;63;0;0;0;0;0;0;1.25041;0.75152;0.49889
1;1;0;TWOSTACKSFRIENDLY;0;0;0;0;0;0;296;1;0;9;16;78;1.26892;0.50265;0.76627
1;1;0;THREESTACKS;231;0;3;3;5;5;132;0;12;0;7;2;1.20987;0.63137;0.5785
1;1;0;THREESTACKSENEMYFIRST;144;0;16;0;7;1;211;1;9;1;7;3;1.19824;0.58657;0.61167
1;1;0;THREESTACKSENEMY;309;0;1;13;22;55;0;0;0;0;0;0;1.27535;0.76167;0.51368
1;1;0;THREESTACKSFRIENDLY;0;0;0;0;0;0;316;0;0;15;14;55;1.24296;0.49292;0.75004
1;1;0;LOWEST;219;2;2;3;9;4;144;0;10;0;5;2;1.20163;0.61852;0.58311
1;1;0;LOWESTENEMYFIRST;142;0;12;3;10;2;214;0;7;4;3;3;1.21229;0.59392;0.61837
1;1;0;LOWESTENEMY;313;0;1;9;21;56;0;0;0;0;0;0;1.24552;0.74583;0.49969
1;1;0;LOWESTFRIENDLY;0;0;0;0;0;0;313;1;1;3;13;69;1.25603;0.50078;0.75525
1;2;0;FOCUSFRIENDLY;293;0;2;11;15;79;0;0;0;0;0;0;1.38785;0.77051;0.61734
1;2;0;FOCUSENEMY;0;0;0;0;0;0;371;0;2;2;16;9;1.71734;0.75654;0.9608
1;2;0;RANDOM;30;0;1;1;3;0;363;0;0;2;0;0;1.67306;0.75986;0.9132
1;2;0;RANDOMENEMY;0;0;1;0;0;0;394;0;0;1;4;0;1.7017;0.76179;0.93991
1;2;0;RANDOMFRIENDLY;0;0;0;0;0;0;393;0;1;1;5;0;1.74279;0.78022;0.96257
1;2;0;ONESTACK;298;0;0;10;12;80;0;0;0;0;0;0;1.39106;0.77287;0.61819
1;2;0;ONESTACKENEMYFIRST;46;0;5;0;17;64;190;0;1;1;54;22;1.4044;0.64189;0.76251
1;2;0;ONESTACKENEMY;0;0;0;0;0;0;341;0;1;2;33;23;1.72659;0.75198;0.97461
1;2;0;ONESTACKFRIENDLY;298;0;3;10;8;81;0;0;0;0;0;0;1.37117;0.77182;0.59935
1;2;0;TWOSTACKS;17;0;2;0;0;1;370;1;2;1;6;0;1.69966;0.76601;0.93365
1;2;0;TWOSTACKSENEMYFIRST;2;1;3;0;0;1;392;0;0;0;1;0;1.69413;0.75758;0.93655
1;2;0;TWOSTACKSENEMY;289;1;1;8;7;94;0;0;0;0;0;0;1.39128;0.76538;0.6259
1;2;0;TWOSTACKSFRIENDLY;0;0;0;0;0;0;386;0;3;2;9;0;1.72907;0.77259;0.95648
1;2;0;THREESTACKS;107;1;27;0;0;0;255;0;8;0;2;0;1.56162;0.73688;0.82474
1;2;0;THREESTACKSENEMYFIRST;13;2;37;0;1;0;342;1;2;0;2;0;1.60038;0.7147;0.88568
1;2;0;THREESTACKSENEMY;288;2;2;15;9;84;0;0;0;0;0;0;1.39645;0.78185;0.6146
1;2;0;THREESTACKSFRIENDLY;0;0;0;0;0;0;386;0;3;2;8;1;1.74112;0.7767;0.96442
1;2;0;LOWEST;116;0;24;4;2;0;243;1;8;2;0;0;1.57027;0.74896;0.82131
1;2;0;LOWESTENEMYFIRST;14;1;40;0;0;0;340;0;3;2;0;0;1.59456;0.71623;0.87833
1;2;0;LOWESTENEMY;284;0;2;17;10;87;0;0;0;0;0;0;1.39156;0.77979;0.61177
1;2;0;LOWESTFRIENDLY;0;0;0;0;0;0;386;0;4;4;6;0;1.72585;0.77189;0.95396
